
Logfile opened on Sat Jun  6 23:58:34 2020
Sun Jun  7 10:12:49 2020: ^4Client cod4 85.73.209.205:28960 ^4left this server from slot 6 with guid 1915d0e547cbb03c07d602f5891211be
Sun Jun  7 10:15:41 2020: ^5Client lyhuyikju 101.50.66.218:64882 ^5entered this server in slot 6 with guid 0000000025c84fb8a579a2fb1824f356
Sun Jun  7 10:17:47 2020: ^5Client cod4 85.73.209.205:28960 ^5entered this server in slot 9 with guid 1915d0e547cbb03c07d602f5891211be
Sun Jun  7 10:24:16 2020: ^4Client Poola. 176.222.43.31:28960 ^4left this server from slot 7 with guid 0000000046b1d170fcea01807b71cdda
Sun Jun  7 10:26:10 2020: ^4Client lyhuyikju 101.50.66.218:64882 ^4left this server from slot 6 with guid 0000000025c84fb8a579a2fb1824f356
Sun Jun  7 10:28:13 2020: ^5Client cod4 85.73.209.205:28960 ^5entered this server in slot 9 with guid 1915d0e547cbb03c07d602f5891211be
Sun Jun  7 10:30:32 2020: ^4Client Wizzy. 98.199.186.80:28960 ^4left this server from slot 4 with guid 948b3e2d03c2298d586a1f7c6f0617c7
Sun Jun  7 10:31:33 2020: ^4Client WTF? 112.134.45.133:45262 ^4left this server from slot 5 with guid 0000000046b4c0b6a21b4c076bcde767
Sun Jun  7 10:38:55 2020: ^5Client zFlickz. 203.175.72.5:4629 ^5entered this server in slot 4 with guid 0000000077f47208f13b02b12d4b536d
Sun Jun  7 10:41:45 2020: ^5Client ratsasan 112.135.249.120:28960 ^5entered this server in slot 5 with guid 000000007b1bf9e77faead1d50a15a0a
Sun Jun  7 10:45:21 2020: ^5Client cod4 85.73.209.205:28960 ^5entered this server in slot 9 with guid 1915d0e547cbb03c07d602f5891211be
Sun Jun  7 11:00:29 2020: ^4Client FFS 39.36.232.121:28960 ^4left this server from slot 3 with guid 00000000958e09312032fe7bbd3c9f27
